"Rank","Player","Team","Bye","POS","Yahoo","Sleeper","RTSports","AVG"
"1","Justin Jefferson","MIN","13","WR1","1","1","1","1.0"
"2","Christian McCaffrey","SF","9","RB1","2","2","2","2.0"
"3","Ja'Marr Chase","CIN","7","WR2","3","3","3","3.0"
"4","Austin Ekeler","LAC","5","RB2","4","4","4","4.0"
"5","Travis Kelce","KC","10","TE1","5","5","6","5.3"
"6","Tyreek Hill","MIA","10","WR3","6","6","5","5.7"
"7","Cooper Kupp","LAR","10","WR4","7","8","7","7.3"
"8","Bijan Robinson","ATL","11","RB3","9","7","9","8.3"
"9","Saquon Barkley","NYG","13","RB4","10","9","8","9.0"
"10","Nick Chubb","CLE","5","RB5","8","11","10","9.7"
"11","Stefon Diggs","BUF","13","WR5","11","10","12","11.0"
"12","CeeDee Lamb","DAL","7","WR6","16","13","11","13.3"
"13","Patrick Mahomes II","KC","10","QB1","14","14","15","14.3"
"14","A.J. Brown","PHI","10","WR7","17","12","16","15.0"
"15","Derrick Henry","TEN","7","RB6","12","15","20","15.7"
"16","Tony Pollard","DAL","7","RB7","15","21","13","16.3"
"17","Davante Adams","LV","13","WR8","18","16","17","17.0"
"18","Jonathan Taylor","IND","11","RB8","13","17","27","19.0"
"19","Josh Allen","BUF","13","QB2","23","20","14","19.0"
"20","Amon-Ra St. Brown","DET","9","WR9","20","18","19","19.0"
"21","Garrett Wilson","NYJ","7","WR10","21","22","18","20.3"
"22","Josh Jacobs","LV","13","RB9","19","19","26","21.3"
"23","Jalen Hurts","PHI","10","QB3","22","23","21","22.0"
"24","Jaylen Waddle","MIA","10","WR11","24","24","23","23.7"
"25","Najee Harris","PIT","6","RB10","25","26","24","25.0"
"26","Chris Olave","NO","11","WR12","29","27","22","26.0"
"27","DeVonta Smith","PHI","10","WR13","28","30","25","27.7"
"28","Mark Andrews","BAL","13","TE2","31","25","29","28.3"
"29","Travis Etienne Jr.","JAC","9","RB11","26","32","28","28.7"
"30","Rhamondre Stevenson","NE","11","RB12","27","29","30","28.7"
"31","Tee Higgins","CIN","7","WR14","32","28","37","32.3"
"32","Lamar Jackson","BAL","13","QB4","37","33","33","34.3"
"33","DK Metcalf","SEA","5","WR15","35","31","38","34.7"
"34","Jahmyr Gibbs","DET","9","RB13","36","34","34","34.7"
"35","Joe Mixon","CIN","7","RB14","34","36","35","35.0"
"36","Joe Burrow","CIN","7","QB5","41","37","31","36.3"
"37","Calvin Ridley","JAC","9","WR16","43","39","32","38.0"
"38","Aaron Jones","GB","6","RB15","33","42","41","38.7"
"39","Deebo Samuel","SF","9","WR17","38","38","44","40.0"
"40","Kenneth Walker III","SEA","5","RB16","42","40","39","40.3"
"41","Breece Hall","NYJ","7","RB17","30","35","57","40.7"
"42","Amari Cooper","CLE","5","WR18","39","43","43","41.7"
"43","Dameon Pierce","HOU","7","RB18","46","49","36","43.7"
"44","T.J. Hockenson","MIN","13","TE3","40","46","46","44.0"
"45","Justin Fields","CHI","13","QB6","47","44","42","44.3"
"46","Keenan Allen","LAC","5","WR19","48","41","45","44.7"
"47","Justin Herbert","LAC","5","QB7","51","45","40","45.3"
"48","George Kittle","SF","9","TE4","44","47","59","50.0"
"49","Miles Sanders","CAR","7","RB19","50","51","49","50.0"
"50","J.K. Dobbins","BAL","13","RB20","45","53","55","51.0"
"51","Terry McLaurin","WAS","14","WR20","57","50","47","51.3"
"52","DeAndre Hopkins","TEN","7","WR21","58","48","53","53.0"
"53","DJ Moore","CHI","13","WR22","54","52","54","53.3"
"54","Alexander Mattison","MIN","13","RB21","60","56","48","54.7"
"55","Trevor Lawrence","JAC","9","QB8","56","58","51","55.0"
"56","Cam Akers","LAR","10","RB22","49","57","62","56.0"
"57","Darren Waller","NYG","13","TE5","61","62","52","58.3"
"58","James Conner","ARI","14","RB23","53","61","64","59.3"
"59","Drake London","ATL","11","WR23","62","55","69","62.0"
"60","Jerry Jeudy","DEN","9","WR24","65","54","70","63.0"
"61","Javonte Williams","DEN","9","RB24","69","71","50","63.3"
"62","Kyle Pitts","ATL","11","TE6","59","60","72","63.7"
"63","Dallas Goedert","PHI","10","TE7","52","65","75","64.0"
"64","Christian Watson","GB","6","WR25","77","59","58","64.7"
"65","Brandon Aiyuk","SF","9","WR26","64","66","67","65.7"
"66","Tyler Lockett","SEA","5","WR27","55","69","76","66.7"
"67","Dalvin Cook","NYJ","7","RB25","67","70","63","66.7"
"68","Chris Godwin","TB","5","WR28","68","63","71","67.3"
"69","Alvin Kamara","NO","11","RB26","71","68","65","68.0"
"70","Mike Williams","LAC","5","WR29","79","67","61","69.0"
"71","Rachaad White","TB","5","RB27","82","73","56","70.3"
"72","D'Andre Swift","PHI","10","RB28","81","64","68","71.0"
"73","Isiah Pacheco","KC","10","RB29","66","76","73","71.7"
"74","James Cook","BUF","13","RB30","80","82","60","74.0"
"75","Christian Kirk","JAC","9","WR30","87","72","66","75.0"
"76","David Montgomery","DET","9","RB31","70","78","78","75.3"
"77","Michael Pittman Jr.","IND","11","WR31","83","77","79","79.7"
"78","Mike Evans","TB","5","WR32","84","74","83","80.3"
"79","Diontae Johnson","PIT","6","WR33","85","79","77","80.3"
"80","Evan Engram","JAC","9","TE8","73","83","91","82.3"
"81","Dak Prescott","DAL","7","QB9","76","89","82","82.3"
"82","George Pickens","PIT","6","WR34","95","80","74","83.0"
"83","Pat Freiermuth","PIT","6","TE9","74","87","93","84.7"
"84","Deshaun Watson","CLE","5","QB10","86","85","84","85.0"
"85","Marquise Brown","ARI","14","WR35","97","75","88","86.7"
"86","AJ Dillon","GB","6","RB32","96","88","85","89.7"
"87","Tua Tagovailoa","MIA","10","QB11","90","92","94","92.0"
"88","Jahan Dotson","WAS","14","WR36","106","86","87","93.0"
"89","Jordan Addison","MIN","13","WR37","108","84","90","94.0"
"90","Antonio Gibson","WAS","14","RB33","113","91","80","94.7"
"91","Khalil Herbert","CHI","13","RB34","100","103","81","94.7"
"92","Jaxon Smith-Njigba","SEA","5","WR38","107","81","97","95.0"
"93","David Njoku","CLE","5","TE10","94","90","101","95.0"
