DATE,FAVORITE,SPREAD,UNDERDOG,TOTAL,AWAY MONEY LINE,HOME MONEY LINE,,
9/14/23 20:15,Eagles,-6,Vikings,49,217,-269,27.5,21.5
9/17/23 13:00,Bengals,-3.5,Ravens,46,152,-182,24.75,21.25
9/17/23 13:00,Buccaneers,-2.5,Bears,41,124,-147,21.75,19.25
9/17/23 13:00,Packers,-1.5,Falcons,40.5,-124,105,21,19.5
9/17/23 13:00,Colts,-1,Texans,39.5,-119,100,20.25,19.25
9/17/23 13:00,Chiefs,-3.5,Jaguars,51,-183,151,27.25,23.75
9/17/23 13:00,Chargers,-3,Titans,45,-163,138,24,21
9/17/23 13:00,Bills,-9.5,Raiders,47,331,-422,28.25,18.75
9/17/23 13:00,Lions,-5.5,Seahawks,47.5,200,-246,26.5,21
9/17/23 16:05,49ers,-8,Rams,44.5,-356,283,26.25,18.25
9/17/23 16:05,Giants,-5.5,Cardinals,39.5,-245,203,22.5,17
9/17/23 16:25,Cowboys,-9,Jets,39.5,344,-443,24.25,15.25
9/17/23 16:25,Broncos,-3.5,Commanders,38,155,-185,20.75,17.25
9/17/23 20:20,Dolphins,-2.5,Priots,46.5,-140,119,24.5,22
9/18/23 19:15,Saints,-3,Panthers,40,-170,144,21.5,18.5
9/18/23 20:15,Browns,-2,Steelers,39,-130,110,20.5,18.5
